Date,JYP,SM,YG
2018-01-02,13350,34750,28600
2018-01-03,13150,33500,28200
2018-01-04,12800,33000,27300
2018-01-05,13350,33700,27600
2018-01-08,12900,33650,27000
2018-01-09,13150,33700,27350
2018-01-10,13450,35800,28250
2018-01-11,13400,35650,27800
2018-01-12,13050,35150,27550
2018-01-15,14000,36650,28150
2018-01-16,14500,36800,28350
2018-01-17,16200,38500,29350
2018-01-18,15950,38100,29350
2018-01-19,16650,39150,29600
2018-01-22,16550,39650,29800
2018-01-23,16050,39300,30000
2018-01-24,16100,39050,29950
2018-01-25,15850,38200,29500
2018-01-26,16400,39450,29750
2018-01-29,16050,39600,30850
2018-01-30,16150,38400,30000
2018-01-31,15650,38600,29600
2018-02-01,16450,39950,30050
2018-02-02,16050,39100,29750
2018-02-05,15550,38050,28950
2018-02-06,15500,37650,29000
2018-02-07,15000,36100,28950
2018-02-08,16600,37200,29300
2018-02-09,16600,36900,28500
2018-02-12,16900,37150,28100
2018-02-13,15850,36500,27650
2018-02-14,16400,36900,27800
2018-02-19,17400,37950,28550
2018-02-20,16900,36950,28300
2018-02-21,16700,37000,28700
2018-02-22,16650,36400,28700
2018-02-23,16950,36450,27950
2018-02-26,17050,36550,27800
2018-02-27,17000,36600,27650
2018-02-28,16900,36750,27150
2018-03-02,17500,38000,27250
2018-03-05,17450,38000,27550
2018-03-06,18000,38750,27700
2018-03-07,17900,36700,27300
2018-03-08,18400,36250,27050
2018-03-09,18700,38250,28050
2018-03-12,19050,41100,29450
2018-03-13,19300,41700,30000
2018-03-14,19700,41600,29450
2018-03-15,19850,41800,30150
2018-03-16,20350,42800,30150
2018-03-19,21200,44400,29850
2018-03-20,21250,45000,30000
2018-03-21,20250,43900,29650
2018-03-22,20600,44050,29650
2018-03-23,20600,42700,28200
2018-03-26,21400,46200,29500
2018-03-27,22450,46500,29700
2018-03-28,22650,46200,31100
2018-03-29,22950,46550,31150
2018-03-30,23150,45750,30800
2018-04-02,24000,46500,32050
2018-04-03,24100,47800,32400
2018-04-04,23350,44800,30900
2018-04-05,22300,42250,30150
2018-04-06,22000,42300,29850
2018-04-09,22550,41300,30550
2018-04-10,22600,42500,31150
2018-04-11,21750,41500,30750
2018-04-12,21150,40100,29850
2018-04-13,21250,40650,30650
2018-04-16,22500,41400,31250
2018-04-17,23600,41000,30850
2018-04-18,23850,40600,30450
2018-04-19,22950,38250,30300
2018-04-20,22900,37800,30300
2018-04-23,22000,36900,30450
2018-04-24,22050,36550,29850
2018-04-25,22100,37400,30100
2018-04-26,22050,37450,29950
2018-04-27,22350,36800,29100
2018-04-30,21450,35750,29300
2018-05-02,20250,34850,28600
2018-05-03,20700,35200,28300
2018-05-04,20450,35550,27850
2018-05-08,19950,35200,27200
2018-05-09,19950,35850,27950
2018-05-10,19400,34300,27050
2018-05-11,20050,34950,27350
2018-05-14,19500,36400,27350
2018-05-15,20700,39500,27750
2018-05-16,21950,38600,27150
2018-05-17,21250,38900,27350
2018-05-18,21850,39000,27350
2018-05-21,22100,39350,27500
2018-05-23,21800,39300,27900
2018-05-24,22300,40850,27650
2018-05-25,22300,40850,27350
2018-05-28,23050,40650,27400
2018-05-29,24500,42000,28550
2018-05-30,24450,41550,28350
2018-05-31,24800,41550,29000
2018-06-01,25000,42050,28400
2018-06-04,25250,42100,28650
2018-06-05,24050,40500,28400
2018-06-07,24000,39150,28300
2018-06-08,24450,39300,28250
2018-06-11,24100,40400,28850
2018-06-12,24550,40500,30700
2018-06-14,24350,39850,31050
2018-06-15,24800,40400,31250
2018-06-18,24200,38550,33000
2018-06-19,23800,38550,32150
2018-06-20,24450,40350,34050
2018-06-21,26200,41350,36400
2018-06-22,25850,41800,36250
2018-06-25,25300,42300,36250
2018-06-26,25500,42450,37200
2018-06-27,25250,41700,36750
2018-06-28,25450,41000,36500
2018-06-29,26400,41950,36250
2018-07-02,25200,39650,35950
2018-07-03,26500,41500,38100
2018-07-04,25950,41800,37800
2018-07-05,25350,41950,36850
2018-07-06,25800,41550,37450
2018-07-09,26150,42900,39750
2018-07-10,25450,42500,39100
2018-07-11,24800,41650,38750
2018-07-12,25850,42600,40450
2018-07-13,26600,43550,41350
2018-07-16,26150,43900,41750
2018-07-17,25450,42950,39100
2018-07-18,24500,42850,37850
2018-07-19,23700,40000,37100
2018-07-20,24050,38800,37150
2018-07-23,23150,37600,35400
2018-07-24,23550,38250,35400
2018-07-25,22700,38100,35050
2018-07-26,24250,39750,36600
2018-07-27,24200,40700,35950
2018-07-30,23200,39300,34000
2018-07-31,22700,38550,33300
2018-08-01,23300,40500,34950
2018-08-02,23100,39650,34350
2018-08-03,23200,40450,34500
2018-08-06,22350,40450,33650
2018-08-07,22300,40250,35000
2018-08-08,22950,40350,35000
2018-08-09,23200,40900,34850
2018-08-10,23650,41250,35000
2018-08-13,23050,39850,34100
2018-08-14,23750,41250,35450
2018-08-16,25700,43850,37950
2018-08-17,26400,43800,37050
2018-08-20,26950,43800,36050
2018-08-21,28650,45450,38300
2018-08-22,29000,45950,38900
2018-08-23,29900,46000,38200
2018-08-24,29800,47350,40050
2018-08-27,31400,49100,41800
2018-08-28,30600,47300,39600
2018-08-29,31300,47300,40850
2018-08-30,31600,47700,41950
2018-08-31,32250,48550,42900
2018-09-03,31850,47950,42600
2018-09-04,31850,48450,43250
2018-09-05,31950,47800,43000
2018-09-06,32450,48050,42550
2018-09-07,34200,48900,42950
2018-09-10,32950,46900,41550
2018-09-11,33300,47850,42000
2018-09-12,33950,48800,42600
2018-09-13,34700,49600,43300
2018-09-14,34800,49000,43600
2018-09-17,35200,48500,43250
2018-09-18,34900,47850,42700
2018-09-19,36650,49200,43400
2018-09-20,36950,48250,43600
2018-09-21,36600,47850,44000
2018-09-27,36400,50200,44200
2018-09-28,37100,50500,44200
2018-10-01,38100,52200,46700
2018-10-02,37050,50100,44650
2018-10-04,37300,50700,44650
2018-10-05,37850,49600,43200
2018-10-08,36350,47150,41200
2018-10-10,36600,47050,42150
2018-10-11,35450,45700,39650
2018-10-12,36050,47250,40800
2018-10-15,35700,47950,40300
2018-10-16,36850,50500,42300
2018-10-17,38050,51000,39450
2018-10-18,36950,49850,40000
2018-10-19,37900,51700,41200
2018-10-22,39150,52600,41750
2018-10-23,38900,51700,42700
2018-10-24,31000,43900,37050
2018-10-25,30250,44400,38000
2018-10-26,27400,42950,36600
2018-10-29,26750,42300,35950
2018-10-30,28500,43600,38000
2018-10-31,28600,43900,36850
2018-11-01,30050,45050,37300
2018-11-02,31500,47500,38950
2018-11-05,30500,48300,37550
2018-11-06,30200,47350,36850
2018-11-07,29250,46500,35500
2018-11-08,28700,45650,35700
2018-11-09,29750,46650,36200
2018-11-12,31050,46700,38250
2018-11-13,30800,46500,39850
2018-11-14,32600,49900,41300
2018-11-15,34400,53800,42300
2018-11-16,34450,54000,41550
2018-11-19,34300,54000,40500
2018-11-20,33800,55200,41050
2018-11-21,33350,54500,40900
2018-11-22,32750,53700,39650
2018-11-23,32050,52800,39150
2018-11-26,33600,55300,41950
2018-11-27,33600,56100,42850
2018-11-28,33000,55900,43200
2018-11-29,32800,54000,43000
2018-11-30,32400,53500,43400
2018-12-03,32450,53600,43650
2018-12-04,33100,53600,45300
2018-12-05,31400,51300,44500
2018-12-06,30200,50200,43200
2018-12-07,30750,51300,43950
2018-12-10,30100,51000,44050
2018-12-11,29800,52500,45200
2018-12-12,30600,52700,45550
2018-12-13,30850,52800,45600
2018-12-14,31350,50700,44750
2018-12-17,28850,50500,43500
2018-12-18,28950,49200,43200
2018-12-19,29950,51500,46400
2018-12-20,29500,50600,46000
2018-12-21,30200,52300,46650
2018-12-24,30950,52800,47250
2018-12-26,31600,53900,48950
2018-12-27,31000,52000,48700
2018-12-28,30250,52300,47500
2019-01-02,29050,51100,45900
2019-01-03,28300,50400,45550
2019-01-04,30250,52200,48900
2019-01-07,31350,53600,48400
2019-01-08,31500,52200,48400
2019-01-09,31550,51200,47300
2019-01-10,31500,51100,48200
2019-01-11,30900,49950,46450
2019-01-14,30900,50100,46700
2019-01-15,32950,50800,48350
2019-01-16,33150,49500,47600
2019-01-17,31800,47200,44700
2019-01-18,31650,47550,44600
2019-01-21,28800,46300,42800
2019-01-22,29300,47100,43600
2019-01-23,27600,44400,42200
2019-01-24,27850,44350,43100
2019-01-25,28000,45500,42500
2019-01-28,27650,45450,42250
2019-01-29,27650,45000,41400
2019-01-30,27700,46500,40800
2019-01-31,28700,48050,43500
2019-02-01,28250,47050,43450
2019-02-07,28800,47000,45800
2019-02-08,28550,46450,46050
2019-02-11,29200,47750,45600
2019-02-12,29600,46450,44900
2019-02-13,29500,46750,44600
2019-02-14,29200,46400,44450
2019-02-15,29850,47350,44800
2019-02-18,29900,46800,43300
2019-02-19,29400,46550,43050
2019-02-20,29600,48100,44250
2019-02-21,30150,49900,46900
2019-02-22,29800,48150,46500
2019-02-25,29800,48150,47500
2019-02-26,29400,47250,45400
2019-02-27,29000,47100,44800
2019-02-28,28500,46500,42050
2019-03-04,28650,48000,41450
2019-03-05,28700,46850,40800
2019-03-06,30000,46950,41700
2019-03-07,29350,44900,40750
2019-03-08,30100,45300,43250
2019-03-11,31200,40550,37150
2019-03-12,29950,39050,35900
2019-03-13,30000,39900,37750
2019-03-14,29050,39200,37150
2019-03-15,28150,37900,35700
2019-03-18,28550,39500,36500
2019-03-19,28900,39200,36150
2019-03-20,29300,38950,36000
2019-03-21,29200,38200,35400
2019-03-22,29450,38750,35150
2019-03-25,29400,38050,35500
2019-03-26,29950,39150,36600
2019-03-27,29750,38400,36150
2019-03-28,29800,38650,36150
2019-03-29,30800,39400,37700
2019-04-01,30600,39350,37050
2019-04-02,32300,40100,36650
2019-04-03,32500,40850,37850
2019-04-04,32450,40600,38050
2019-04-05,32500,40500,37750
2019-04-08,32050,40850,38700
2019-04-09,31950,40100,38200
2019-04-10,31400,40300,37650
2019-04-11,31550,41000,38050
2019-04-12,31500,41150,37700
2019-04-15,31350,41400,37300
2019-04-16,31500,41850,37600
2019-04-17,31250,41900,37950
2019-04-18,30550,41200,37100
2019-04-19,30900,41000,36550
2019-04-22,31550,41450,37200
2019-04-23,30850,41300,37400
2019-04-24,30550,41000,36800
2019-04-25,29800,40400,35700
2019-04-26,29350,40100,35100
2019-04-29,29300,40350,35150
2019-04-30,29800,41350,36000
2019-05-02,29800,41500,36200
2019-05-03,29750,42400,35800
2019-05-07,29100,41550,35100
2019-05-08,28900,40600,35200
2019-05-09,27200,38200,33700
2019-05-10,27550,38950,33950
2019-05-13,27250,39050,33550
2019-05-14,27750,40900,33400
2019-05-15,28900,41400,34750
2019-05-16,28650,41500,35200
2019-05-17,27650,40850,34800
2019-05-20,27600,41000,35850
2019-05-21,26850,40050,34600
2019-05-22,26250,39350,34400
2019-05-23,25500,38800,33750
2019-05-24,25350,38200,32800
2019-05-27,25500,37600,28700
2019-05-28,25700,37650,29100
2019-05-29,25050,37650,29300
2019-05-30,25900,42250,30300
2019-05-31,25500,42800,30600
2019-06-03,25550,43250,31900
2019-06-04,26000,43600,31800
2019-06-05,26200,45350,31900
2019-06-07,26300,47800,32250
2019-06-10,26300,47950,32700
2019-06-11,26750,46800,33300
2019-06-12,26400,45750,31950
2019-06-13,26000,46750,31250
2019-06-14,25450,45800,29500
2019-06-17,25550,45500,28950
2019-06-18,25450,44900,28300
2019-06-19,25650,44200,29000
2019-06-20,25650,44950,29400
2019-06-21,25150,44600,29200
2019-06-24,23900,43100,28250
2019-06-25,24150,41850,28750
2019-06-26,23950,41250,28400
2019-06-27,24200,41300,29150
2019-06-28,23900,41600,28950
2019-07-01,23050,40250,28500
2019-07-02,23150,40500,29000
2019-07-03,22550,40000,28550
2019-07-04,23150,39650,28850
2019-07-05,24000,39800,29050
2019-07-08,22600,38500,27950
2019-07-09,21900,37800,27700
2019-07-10,23050,38450,28600
2019-07-11,22950,38350,29850
2019-07-12,22500,38200,28500
2019-07-15,22000,38250,28150
2019-07-16,21600,37550,28250
2019-07-17,20700,36400,27550
2019-07-18,20750,35900,27000
2019-07-19,21200,36750,27800
2019-07-22,20800,35400,27750
2019-07-23,20650,35500,27350
2019-07-24,20600,35950,27150
2019-07-25,20650,35150,26550
2019-07-26,21400,35650,25250
2019-07-29,19850,33800,24350
2019-07-30,19900,34750,25250
2019-07-31,20350,35400,25000
2019-08-01,21000,32550,24800
2019-08-02,20200,32400,24800
2019-08-05,17750,29650,22300
2019-08-06,17650,29500,22500
2019-08-07,17850,29800,23450
2019-08-08,18900,30850,26000
2019-08-09,18600,30650,23150
2019-08-12,18700,30050,23050
2019-08-13,18250,29950,22150
2019-08-14,18800,29800,21400
2019-08-16,18150,28250,21000
2019-08-19,17650,28750,21400
2019-08-20,18350,29000,21350
2019-08-21,19350,30350,22450
2019-08-22,19350,29800,21600
2019-08-23,18350,29000,21250
2019-08-26,16950,27050,19450
2019-08-27,17650,27950,20000
2019-08-28,19050,29100,20800
2019-08-29,18900,29100,20750
2019-08-30,19150,29800,21200
2019-09-02,19450,29900,21900
2019-09-03,19250,30300,21750
2019-09-04,19150,30500,22200
2019-09-05,19350,30750,22300
2019-09-06,19000,30400,21850
2019-09-09,19950,31050,22150
2019-09-10,21100,31750,22600
2019-09-11,21850,31650,23500
2019-09-16,22000,31950,23000
2019-09-17,21850,31700,22750
2019-09-18,22700,32200,22750
2019-09-19,22950,31900,22550
2019-09-20,22700,32450,24200
2019-09-23,22900,32800,24500
2019-09-24,22250,32300,23750
2019-09-25,21600,31150,22700
2019-09-26,21750,32850,23700
2019-09-27,22000,33450,23900
2019-09-30,21550,33300,23050
2019-10-01,22100,35250,24200
2019-10-02,22000,34600,23200
2019-10-04,21800,34150,22850
2019-10-07,21750,35500,23400
2019-10-08,21250,35050,23800
2019-10-10,21000,34300,23550
2019-10-11,21350,34450,23950
2019-10-14,22550,37250,25650
2019-10-15,22500,37150,26000
2019-10-16,22050,35650,25800
2019-10-17,21700,36000,25250
2019-10-18,21350,35300,24750
2019-10-21,21350,34750,24900
2019-10-22,21600,35650,26400
2019-10-23,21450,35700,26350
2019-10-24,22250,36000,26400
2019-10-25,21800,35300,25850
2019-10-28,22100,35400,26000
2019-10-29,22700,35700,25700
2019-10-30,22600,37050,26750
2019-10-31,22400,37100,26750
2019-11-01,22650,37400,26900
2019-11-04,22650,37800,27050
2019-11-05,22100,38450,26900
2019-11-06,22400,38300,26500
2019-11-07,22250,38350,26650
2019-11-08,21800,38150,25400
2019-11-11,21850,39400,26050
2019-11-12,21500,38500,26150
2019-11-13,21200,36950,25550
2019-11-14,22100,39400,25400
2019-11-15,22700,39100,25400
2019-11-18,23500,39650,25450
2019-11-19,23500,39300,24850
2019-11-20,22900,39000,24300
2019-11-21,22200,38000,23800
2019-11-22,21950,38050,24050
2019-11-25,22900,38550,24950
2019-11-26,22750,38000,25150
2019-11-27,22250,37950,24950
2019-11-28,22150,36900,24600
2019-11-29,22200,38400,24850
2019-12-02,22350,38300,24800
2019-12-03,22050,36700,24300
2019-12-04,21750,36750,24400
2019-12-05,21750,36950,24400
2019-12-06,22000,37100,25500
2019-12-09,21700,37050,25100
2019-12-10,21700,36200,25550
2019-12-11,21900,36200,25350
2019-12-12,21950,36600,25450
2019-12-13,22400,37000,26250
2019-12-16,22500,36600,25900
2019-12-17,22550,37050,26200
2019-12-18,23000,36950,26200
2019-12-19,23150,37050,26150
2019-12-20,23000,37100,26100
2019-12-23,23000,36700,26150
2019-12-24,22900,36200,26000
2019-12-26,23500,37200,26500
2019-12-27,23850,37750,26750
2019-12-30,24150,38450,27350
2020-01-02,24100,37950,27500
2020-01-03,24200,37200,28400
2020-01-06,22900,35300,30000
2020-01-07,23250,36200,30750
2020-01-08,22650,35100,30550
2020-01-09,23600,36400,32050
2020-01-10,23500,35650,31750
2020-01-13,26050,38850,34700
2020-01-14,25900,38050,35000
2020-01-15,26500,37700,35800
2020-01-16,26850,37800,35150
2020-01-17,26850,37700,34950
2020-01-20,26800,37900,34450
2020-01-21,26250,36000,33300
2020-01-22,27300,36500,33950
2020-01-23,27000,36000,33300
2020-01-28,25200,32900,31300
2020-01-29,25900,33600,32750
2020-01-30,25450,33650,32550
2020-01-31,24700,32850,31600
2020-02-03,25200,33250,33950
2020-02-04,25450,33950,34200
2020-02-05,25300,33850,33500
2020-02-06,25700,34350,33650
2020-02-07,25750,33950,33900
2020-02-10,25600,33500,32650
2020-02-11,25500,34100,32000
2020-02-12,25350,34250,32700
2020-02-13,25050,34000,33200
2020-02-14,25100,33950,32650
2020-02-17,25600,34050,34600
2020-02-18,25200,33400,34050
2020-02-19,24800,33100,33900
2020-02-20,23950,32550,32900
2020-02-21,22850,31500,31050
2020-02-24,21500,30000,30050
2020-02-25,22900,31550,30600
2020-02-26,23000,31050,31750
2020-02-27,22500,30100,32000
2020-02-28,21150,28450,30300
2020-03-02,22500,29700,30900
2020-03-03,22600,29600,29950
2020-03-04,23550,29750,29700
2020-03-05,23050,29700,29100
2020-03-06,21550,28300,26450
2020-03-09,19850,26400,25100
2020-03-10,20500,26550,25300
2020-03-11,19650,26100,25150
2020-03-12,17700,23400,23250
2020-03-13,17900,22550,22700
2020-03-16,17850,21700,22200
2020-03-17,17800,21400,22400
2020-03-18,17400,20500,21000
2020-03-19,16550,19000,19550
2020-03-20,17700,19450,21350
2020-03-23,15350,16700,19450
2020-03-24,16600,18500,21400
2020-03-25,18150,20450,24650
2020-03-26,18000,20200,24650
2020-03-27,17950,20500,24400
2020-03-30,17600,20800,23800
2020-03-31,17800,21050,24050
2020-04-01,17350,20350,23100
2020-04-02,17700,21300,24100
2020-04-03,17600,21150,23650
2020-04-06,18450,22450,25000
2020-04-07,18850,22550,25300
2020-04-08,19250,22700,26250
2020-04-09,19200,23200,26550
2020-04-10,19950,24600,28900
2020-04-13,19450,24800,28000
2020-04-14,20350,25500,28900
2020-04-16,20800,26700,30550
2020-04-17,21000,26700,30850
2020-04-20,20850,26150,29600
2020-04-21,20250,25500,28700
2020-04-22,20250,25700,29250
2020-04-23,20300,26000,29150
2020-04-24,19800,25150,28050
2020-04-27,20100,25600,28850
2020-04-28,20800,27950,29550
2020-04-29,20750,27700,29650
2020-05-04,20450,27200,29850
2020-05-06,20750,28350,30600
2020-05-07,20800,28350,30950
2020-05-08,20950,28350,30600
2020-05-11,20550,27600,30050
2020-05-12,20100,26700,29400
2020-05-13,20750,26900,30650
2020-05-14,21400,26900,30500
2020-05-15,21300,26050,29500
2020-05-18,21350,26050,30450
2020-05-19,24050,28100,33200
2020-05-20,23800,27700,33500
2020-05-21,24100,27650,32900
2020-05-22,22950,27000,31500
2020-05-25,23100,27000,31400
2020-05-26,23600,27400,32100
2020-05-27,23800,27450,32150
2020-05-28,22850,26400,30300
2020-05-29,22850,26000,29600
2020-06-01,23650,26900,30450
2020-06-02,23250,27200,30250
2020-06-03,23200,27250,30450
2020-06-04,22800,26850,30050
2020-06-05,23050,27150,29900
2020-06-08,23600,27900,31850
2020-06-09,23350,27950,31850
2020-06-10,23550,27500,31950
2020-06-11,22850,26650,32000
2020-06-12,21900,25500,30400
2020-06-15,20250,23400,28550
2020-06-16,20800,24200,29750
2020-06-17,20850,24150,29700
2020-06-18,20350,23500,29600
2020-06-19,20300,23650,29800
2020-06-22,19850,23150,30450
2020-06-23,19900,23150,31200
2020-06-24,19900,23500,31500
2020-06-25,19100,22600,32500
2020-06-26,19150,22800,33850
2020-06-29,19150,21950,37000
2020-06-30,21200,24250,37250
2020-07-01,21650,24000,35600
2020-07-02,22950,26650,39450
