Date,JYP,SM,YG
2020-07-03,24250,28550,38750
2020-07-06,25200,28600,39200
2020-07-07,24950,29400,38600
2020-07-08,27900,31500,40400
2020-07-09,28150,31500,39600
2020-07-10,29050,32500,38350
2020-07-13,28550,32950,38250
2020-07-14,29200,33650,38750
2020-07-15,29250,32700,37450
2020-07-16,29450,32000,38000
2020-07-17,31250,33350,39650
2020-07-20,32450,33750,40000
2020-07-21,31950,32750,39000
2020-07-22,32000,31000,38350
2020-07-23,31400,31100,38850
2020-07-24,30300,30200,38300
2020-07-27,30850,31100,38700
2020-07-28,30250,30200,38950
2020-07-29,31250,30400,40400
2020-07-30,29700,30250,39450
2020-07-31,29850,31250,40700
2020-08-03,30100,32500,42650
2020-08-04,31800,33150,42950
2020-08-05,32850,33100,45000
2020-08-06,32150,33800,45050
2020-08-07,32500,34400,43950
2020-08-10,35400,34950,45600
2020-08-11,35200,34850,45700
2020-08-12,34800,34150,44250
2020-08-13,36850,35750,48250
2020-08-14,36350,35900,48500
2020-08-18,34500,35500,46750
2020-08-19,36950,39100,49300
2020-08-20,35000,37600,46500
2020-08-21,34650,35900,46700
2020-08-24,35200,35950,46800
2020-08-25,35600,36400,48700
2020-08-26,36250,36050,50400
2020-08-27,35000,34350,50900
2020-08-28,35100,35050,49000
2020-08-31,34850,34400,46650
2020-09-01,36500,35750,48450
2020-09-02,37500,37300,50200
2020-09-03,39900,38850,52200
2020-09-04,40800,38700,52300
2020-09-07,41000,38600,54700
2020-09-08,42450,39300,57600
2020-09-09,40650,38500,57700
2020-09-10,40600,37950,57700
2020-09-11,40800,37800,58700
2020-09-14,39950,37400,58000
2020-09-15,40050,37650,58000
2020-09-16,40100,37500,58300
2020-09-17,39200,36100,56300
2020-09-18,40000,35950,58000
2020-09-21,38550,35000,55600
2020-09-22,36900,34600,55200
2020-09-23,38300,35350,55900
2020-09-24,35350,33750,51900
2020-09-25,34700,33650,50900
2020-09-28,38150,35900,57000
2020-09-29,38250,35800,58000
2020-10-05,36450,33900,52500
2020-10-06,36550,33850,51500
2020-10-07,36800,33950,51600
2020-10-08,35950,33350,49800
2020-10-12,34900,33400,47600
2020-10-13,36600,34300,48100
2020-10-14,35950,34150,48150
2020-10-15,34050,31850,44900
2020-10-16,34550,30850,43850
2020-10-19,33500,30400,42650
2020-10-20,33400,30400,42950
2020-10-21,33800,31200,42600
2020-10-22,32550,29850,41700
2020-10-23,32750,29600,41950
2020-10-26,31600,28750,38700
2020-10-27,32200,29000,40400
2020-10-28,32950,30100,41150
2020-10-29,31850,29800,40450
2020-10-30,30550,28800,38700
2020-11-02,31700,29250,39850
2020-11-03,32500,29650,41000
2020-11-04,33400,30000,41150
2020-11-05,35300,31050,43850
2020-11-06,34450,30350,42500
2020-11-09,35150,30650,42950
2020-11-10,35850,31600,43900
2020-11-11,34950,31650,42800
2020-11-12,34850,32200,43650
2020-11-13,35900,32000,44350
2020-11-16,38100,32400,45300
2020-11-17,37950,30500,43850
2020-11-18,39850,30600,44900
2020-11-19,39800,29900,43850
2020-11-20,39900,30450,44600
2020-11-23,39950,30300,45450
2020-11-24,39000,30200,47150
2020-11-25,39900,29900,45950
2020-11-26,39000,30100,45150
2020-11-27,39300,30000,45050
2020-11-30,37950,29700,43800
2020-12-01,39350,29950,44050
2020-12-02,39150,29900,43750
2020-12-03,43250,31250,49050
2020-12-04,40650,30250,46600
2020-12-07,39150,29700,45550
2020-12-08,37900,30000,45900
2020-12-09,38050,30350,46650
2020-12-10,38600,30050,45800
2020-12-11,38750,30100,47300
2020-12-14,38200,29750,46800
2020-12-15,38050,29600,46750
2020-12-16,38100,29550,46900
2020-12-17,37100,29200,44900
2020-12-18,37300,29150,45200
2020-12-21,36750,28800,43800
2020-12-22,35350,28100,42400
2020-12-23,37150,28400,42800
2020-12-24,37050,28950,43050
2020-12-28,38500,29400,43450
2020-12-29,38650,29450,44450
2020-12-30,38400,29750,44700
2021-01-04,37550,29550,44050
2021-01-05,37250,29250,43300
2021-01-06,36700,29000,43000
2021-01-07,36650,29200,43000
2021-01-08,37800,29900,45100
2021-01-11,36200,29000,44000
2021-01-12,36900,28950,45250
2021-01-13,37000,30650,47000
2021-01-14,37050,30900,47000
2021-01-15,36250,29900,45500
2021-01-18,35900,29550,45300
2021-01-19,36500,30300,47050
2021-01-20,38500,31300,51000
2021-01-21,37850,31250,51200
2021-01-22,38000,32400,52900
2021-01-25,37700,33750,51800
2021-01-26,36400,32900,52000
2021-01-27,35200,32600,50400
2021-01-28,34150,31800,47050
2021-01-29,32500,30600,45350
2021-02-01,33600,30900,45750
2021-02-02,34100,31400,47500
2021-02-03,34300,31300,49100
2021-02-04,33450,30700,49050
2021-02-05,33350,30250,49150
2021-02-08,33400,30450,48900
2021-02-09,33150,30050,46650
2021-02-10,33800,30800,47150
2021-02-15,34150,30750,47150
2021-02-16,36450,31300,48550
2021-02-17,37600,30900,48600
2021-02-18,37000,30600,46900
2021-02-19,36700,30450,46000
2021-02-22,35650,29950,44800
2021-02-23,35500,30300,46150
2021-02-24,35500,30000,44700
2021-02-25,37450,30600,46050
2021-02-26,36500,30050,45700
2021-03-02,37800,30200,45900
2021-03-03,37950,32200,47100
2021-03-04,36950,32200,49150
2021-03-05,37450,32800,50300
2021-03-08,35700,31700,49850
2021-03-09,34200,30900,48500
2021-03-10,33300,30200,47100
2021-03-11,34300,31800,48400
2021-03-12,34500,30600,48350
2021-03-15,34300,30250,49250
2021-03-16,35000,30350,49300
2021-03-17,35150,30100,49750
2021-03-18,35200,30150,48150
2021-03-19,35350,30200,48000
2021-03-22,35400,30050,47950
2021-03-23,35400,29650,47550
2021-03-24,36150,29750,46550
2021-03-25,36500,29850,46250
2021-03-26,35700,29800,45250
2021-03-29,34850,29450,45100
2021-03-30,35600,29550,45050
2021-03-31,35600,29600,44500
2021-04-01,34700,29950,45250
2021-04-02,34900,29700,45300
2021-04-05,34550,29650,46000
2021-04-06,34400,29850,46150
2021-04-07,35000,30700,46200
2021-04-08,34950,30350,46200
2021-04-09,34300,30200,45350
2021-04-12,34050,30400,45100
2021-04-13,34200,30400,45250
2021-04-14,33950,30450,44900
2021-04-15,34100,30750,44600
2021-04-16,34800,30800,45100
2021-04-19,34350,30400,44950
2021-04-20,34500,30400,45200
2021-04-21,33850,29950,44500
2021-04-22,34150,29950,44550
2021-04-23,33800,29700,43850
2021-04-26,33800,30000,44500
2021-04-27,33950,30650,43850
2021-04-28,33350,30350,42950
2021-04-29,33350,30150,42400
2021-04-30,32900,30200,41550
2021-05-03,31500,29800,41000
2021-05-04,31550,29550,40950
2021-05-06,30950,30000,40600
2021-05-07,33050,32000,41900
2021-05-10,34000,32600,41900
2021-05-11,33050,31650,41500
2021-05-12,33900,31300,44500
2021-05-13,33450,31000,44900
2021-05-14,35900,33450,45100
2021-05-17,37650,35950,46100
2021-05-18,38250,38400,47250
2021-05-20,38200,39000,48350
2021-05-21,37050,40000,47950
2021-05-24,36950,40100,49050
2021-05-25,38650,42700,50000
2021-05-26,38600,42250,50000
2021-05-27,39000,42450,50500
2021-05-28,38250,42700,49400
2021-05-31,39600,43700,50900
2021-06-01,39650,44300,50900
2021-06-02,38800,44400,51000
2021-06-03,39400,47000,50400
2021-06-04,38650,43750,49900
2021-06-07,39450,45950,50000
2021-06-08,39500,43350,47950
2021-06-09,38950,44350,48350
2021-06-10,38900,44800,47900
2021-06-11,39950,47950,49750
2021-06-14,40850,47100,50700
2021-06-15,41300,51000,52400
2021-06-16,40300,51400,52700
2021-06-17,40800,55000,53700
2021-06-18,42950,54800,54800
2021-06-21,43050,53300,52800
2021-06-22,42150,54000,52200
2021-06-23,42900,55700,55300
2021-06-24,42150,56500,54200
2021-06-25,40200,54000,51100
2021-06-28,39950,55100,50400
2021-06-29,39750,59200,50400
2021-06-30,40500,58800,51200
2021-07-01,40750,58700,51900
2021-07-02,40100,60800,51400
2021-07-05,40750,61300,52600
2021-07-06,40100,60300,52700
2021-07-07,39100,59800,51200
2021-07-08,39000,58500,50500
2021-07-09,38650,59800,49400
2021-07-12,39150,62300,50000
2021-07-13,39950,65400,53600
2021-07-14,40700,65400,55400
2021-07-15,40300,64400,55700
2021-07-16,40250,64000,56900
2021-07-19,39850,62300,56600
2021-07-20,39600,60800,54300
2021-07-21,40150,60800,56200
2021-07-22,40550,62600,55800
2021-07-23,41850,63500,56200
2021-07-26,42350,63800,56500
2021-07-27,40600,62400,54400
2021-07-28,40250,61400,53800
2021-07-29,40500,61800,54100
2021-07-30,40000,58800,52700
2021-08-02,40000,60200,53700
2021-08-03,39450,62700,52800
2021-08-04,40750,71900,55000
2021-08-05,41300,69300,54400
2021-08-06,43800,69100,57200
2021-08-09,44600,69700,57700
2021-08-10,43900,68400,55500
2021-08-11,43600,68500,55200
2021-08-12,45450,66900,61600
2021-08-13,44600,65300,61300
2021-08-17,43400,63800,59300
2021-08-18,42250,68000,59600
2021-08-19,40300,65600,58700
2021-08-20,38800,63000,55400
2021-08-23,40800,67300,58200
2021-08-24,42950,72100,60000
2021-08-25,43900,72400,60200
2021-08-26,44850,72800,62100
2021-08-27,43800,72100,60800
2021-08-30,42300,69500,60000
2021-08-31,42650,69100,60600
2021-09-01,42350,68600,60600
2021-09-02,41300,66900,59000
2021-09-03,40650,65600,57500
2021-09-06,40700,65000,58300
2021-09-07,41400,68400,58500
2021-09-08,40100,63900,56000
2021-09-09,40100,62900,56200
2021-09-10,39800,63100,55300
2021-09-13,39500,63300,53000
2021-09-14,40250,64300,53800
2021-09-15,40050,66200,53400
2021-09-16,39700,64900,54500
2021-09-17,40150,65000,54500
2021-09-23,39750,64900,52800
2021-09-24,39350,63400,52900
2021-09-27,39700,63600,53200
2021-09-28,40100,63600,56300
2021-09-29,40200,63000,58000
2021-09-30,42650,69200,61800
2021-10-01,41400,71000,61600
2021-10-05,43400,79000,64800
2021-10-06,42800,78200,64700
2021-10-07,43100,76300,65700
2021-10-08,42200,76900,63300
2021-10-12,40750,74800,59700
2021-10-13,41050,74800,59800
2021-10-14,42100,77600,62600
2021-10-15,41950,76800,63000
2021-10-18,42800,72800,63000
2021-10-19,43900,75500,64300
2021-10-20,48950,79400,67400
2021-10-21,49500,76600,67200
2021-10-22,50000,75100,65400
2021-10-25,49000,74900,66500
2021-10-26,53400,81700,70900
2021-10-27,53600,83100,71500
2021-10-28,52300,78000,68300
2021-10-29,52400,78200,70300
2021-11-01,53300,80300,70700
2021-11-02,53700,79400,73000
2021-11-03,52900,77300,70600
2021-11-04,53000,75600,69800
2021-11-05,51100,76100,70300
2021-11-08,52600,79400,71400
2021-11-09,54200,80500,73100
2021-11-10,52100,76100,70700
2021-11-11,53000,78000,72400
2021-11-12,51800,77000,71500
2021-11-15,53300,80400,70900
2021-11-16,54000,79900,68500
2021-11-17,55400,84000,69100
2021-11-18,54700,79300,67000
2021-11-19,51500,77200,65900
2021-11-22,50400,73600,64100
2021-11-23,49800,71400,62500
2021-11-24,50600,74300,62700
2021-11-25,49900,74200,60800
2021-11-26,47400,70000,57900
2021-11-29,47050,69800,56500
2021-11-30,45400,67300,55700
2021-12-01,45650,67300,55100
2021-12-02,44350,64500,52900
2021-12-03,47200,71800,55700
2021-12-06,46500,70700,54400
2021-12-07,48000,72500,56300
2021-12-08,48250,73300,55400
2021-12-09,48650,74700,56300
2021-12-10,47650,76100,54800
2021-12-13,47200,75500,54100
2021-12-14,46850,73500,53700
2021-12-15,46700,71900,53200
2021-12-16,48450,71500,54200
2021-12-17,47650,71400,53100
2021-12-20,47000,70100,51600
2021-12-21,49150,72100,52200
2021-12-22,49650,73200,53600
2021-12-23,48700,70900,53500
2021-12-24,48850,72000,53400
2021-12-27,49200,74100,54500
2021-12-28,51400,78100,57100
2021-12-29,50300,74900,55800
2021-12-30,50700,74200,55700
2022-01-03,50700,73600,56300
2022-01-04,48050,70700,54800
2022-01-05,46950,66600,53600
2022-01-06,44850,61900,51600
2022-01-07,45750,63700,51800
2022-01-10,45250,63400,51000
2022-01-11,45700,66000,50200
2022-01-12,45900,67500,51100
2022-01-13,45500,69000,50500
2022-01-14,44400,68200,49200
2022-01-17,44700,68400,49250
2022-01-18,45050,67900,49050
2022-01-19,44000,66300,46900
2022-01-20,45400,69500,51000
2022-01-21,44500,69200,51500
2022-01-24,42050,63900,50000
2022-01-25,41850,63500,49150
2022-01-26,40200,60500,47700
2022-01-27,38350,56000,45300
2022-01-28,41000,58900,49000
2022-02-03,42150,62200,50600
2022-02-04,44250,67300,54100
2022-02-07,44000,67200,55100
2022-02-08,44200,66200,56600
2022-02-09,44500,68800,56300
2022-02-10,43700,66800,54700
2022-02-11,42800,65500,55000
2022-02-14,42650,65300,55000
2022-02-15,41800,65300,54300
2022-02-16,44450,68100,57300
2022-02-17,44350,66600,57000
2022-02-18,44650,67300,57400
2022-02-21,47900,70800,61400
2022-02-22,48500,71800,61800
2022-02-23,48550,71600,61900
2022-02-24,47500,70500,60900
2022-02-25,49250,71400,64800
2022-02-28,49850,74200,65700
2022-03-02,51200,75200,66200
2022-03-03,50600,75000,64700
2022-03-04,50600,75500,65500
2022-03-07,50200,74700,65600
2022-03-08,50000,73500,63800
2022-03-10,52000,77300,67000
2022-03-11,53300,79900,68300
2022-03-14,52800,80000,67200
2022-03-15,53000,79800,67400
2022-03-16,53300,79200,66700
2022-03-17,52400,75000,65900
2022-03-18,52800,76500,66300
2022-03-21,51900,73900,65800
2022-03-22,56300,76600,69400
2022-03-23,57000,75200,68300
2022-03-24,57500,77200,69100
2022-03-25,57200,77800,68900
2022-03-28,57100,75200,67000
2022-03-29,57500,76000,66800
2022-03-30,60800,79600,68600
2022-03-31,61400,81600,68400
2022-04-01,62900,85900,71100
2022-04-04,62400,82200,70300
2022-04-05,62000,80500,65800
2022-04-06,62600,80400,64400
2022-04-07,62600,77900,62300
2022-04-08,64700,77000,62800
2022-04-11,64500,74900,61900
2022-04-12,62500,74700,62800
2022-04-13,63500,76400,62900
2022-04-14,62100,76900,61400
2022-04-15,63400,77200,64000
2022-04-18,58800,72400,60000
2022-04-19,60600,73800,60100
2022-04-20,58900,71400,59200
2022-04-21,58900,70500,58400
2022-04-22,57600,68900,56700
2022-04-25,58600,67500,55900
2022-04-26,60000,68600,57200
2022-04-27,60300,68800,58000
2022-04-28,58900,68400,56500
2022-04-29,59400,68200,57000
2022-05-02,59500,67000,56500
2022-05-03,60100,68300,57500
2022-05-04,60000,67900,58100
2022-05-06,59800,66500,57500
2022-05-09,56200,61200,55100
2022-05-10,56700,61700,55300
2022-05-11,56500,61500,55800
2022-05-12,53900,58000,52000
2022-05-13,54700,60400,53900
2022-05-16,56600,61300,55200
2022-05-17,57000,68700,55800
2022-05-18,57000,71400,55600
2022-05-19,54600,70200,54700
2022-05-20,54400,71800,55700
2022-05-23,53500,68700,54600
2022-05-24,52900,68000,53900
2022-05-25,54100,68000,55100
2022-05-26,53300,67600,54400
2022-05-27,54400,68800,55500
2022-05-30,56600,70300,56400
2022-05-31,56900,69500,56600
2022-06-02,55400,67000,55700
2022-06-03,55300,66900,56000
2022-06-07,55300,65500,54700
2022-06-08,58700,67900,57000
2022-06-09,59400,70300,57500
2022-06-10,58400,70900,57100
2022-06-13,56300,68500,53800
2022-06-14,54700,67400,52700
2022-06-15,54300,67100,48800
2022-06-16,54800,69800,49250
2022-06-17,53800,69200,48350
2022-06-20,54000,69200,47000
2022-06-21,53700,69400,47100
2022-06-22,49000,64500,43450
2022-06-23,47450,60700,41850
2022-06-24,51800,66100,44700
2022-06-27,52100,68000,45950
2022-06-28,50600,66600,45300
2022-06-29,49200,64500,45050
2022-06-30,48250,63100,44150
2022-07-01,48000,61900,43600
2022-07-04,49550,64600,44600
2022-07-05,50200,64800,46050
2022-07-06,51900,64800,48950
2022-07-07,52600,65300,49000
2022-07-08,53400,68500,49650
2022-07-11,53500,68300,50800
2022-07-12,52400,67000,50600
2022-07-13,54800,68500,51500
2022-07-14,55300,70500,53500
2022-07-15,55100,69800,53500
2022-07-18,55100,69300,53700
2022-07-19,55800,69600,54300
2022-07-20,56500,70900,54100
2022-07-21,56500,71400,54300
2022-07-22,55700,70800,54100
2022-07-25,57100,72500,56100
2022-07-26,56000,71200,54200
2022-07-27,55200,68200,54000
2022-07-28,55400,67900,54500
2022-07-29,55500,69100,55100
2022-08-01,54900,68000,54700
2022-08-02,55400,68800,54900
2022-08-03,57900,72400,55900
2022-08-04,57300,72700,55900
2022-08-05,57000,73000,55500
2022-08-08,57400,74500,56700
2022-08-09,59200,75900,59500
2022-08-10,56800,72900,58000
2022-08-11,59100,75000,59500
2022-08-12,59000,75000,61900
2022-08-16,61200,76200,62400
2022-08-17,59300,70300,60500
2022-08-18,61000,70300,61300
2022-08-19,60000,68600,58300
2022-08-22,59200,67800,59100
2022-08-23,58400,66100,56000
2022-08-24,60400,66800,58200
2022-08-25,61700,67400,61100
2022-08-26,60700,68200,60400
2022-08-29,58900,66100,57800
2022-08-30,60300,67400,60100
2022-08-31,61100,69200,60600
2022-09-01,59600,68000,58500
2022-09-02,60900,67600,58400
2022-09-05,61400,66600,57400
2022-09-06,61500,67000,57400
2022-09-07,61600,67200,56300
2022-09-08,63000,67600,57200
2022-09-13,63000,68300,57000
2022-09-14,61100,65600,53800
2022-09-15,61600,64500,52100
2022-09-16,61700,76500,53400
2022-09-19,61300,73300,52500
2022-09-20,62300,77000,51900
2022-09-21,62400,77400,51200
2022-09-22,60400,77100,50300
2022-09-23,59800,74000,48450
2022-09-26,57100,70600,47500
2022-09-27,58400,73100,49350
2022-09-28,54700,67800,45200
2022-09-29,58100,70200,46450
2022-09-30,58800,70800,48450
2022-10-04,59600,70000,49200
2022-10-05,57100,66900,46000
2022-10-06,56700,66600,46200
2022-10-07,55700,66600,45250
2022-10-11,53300,61600,43050
2022-10-12,56500,63400,44300
2022-10-13,54600,63200,42350
2022-10-14,57000,69200,45000
2022-10-17,57400,68700,45350
2022-10-18,56800,69200,45450
2022-10-19,55100,67400,44050
2022-10-20,52900,65300,43500
2022-10-21,51800,65000,43550
2022-10-24,54300,67000,43400
2022-10-25,55300,70200,43400
2022-10-26,54100,69800,42550
2022-10-27,55400,72800,43450
2022-10-28,54800,71500,42850
2022-10-31,55500,71100,42750
2022-11-01,55500,66900,42350
2022-11-02,55500,65100,42250
2022-11-03,52900,63900,41150
2022-11-04,53000,63000,41450
2022-11-07,53200,64000,41600
2022-11-08,54800,64800,42500
2022-11-09,55300,63400,41600
2022-11-10,56000,62900,41250
2022-11-11,56800,65500,42800
2022-11-14,56800,65800,41000
2022-11-15,58200,68100,41850
2022-11-16,60300,71700,43300
2022-11-17,61500,73900,42200
2022-11-18,59500,73900,41100
2022-11-21,59400,75200,40150
2022-11-22,59100,73400,40300
2022-11-23,61200,76700,40950
2022-11-24,61700,77200,42900
2022-11-25,61600,77200,42800
2022-11-28,60300,77500,42450
2022-11-29,61200,80300,44900
2022-11-30,60600,79300,43900
2022-12-01,64600,81700,45300
2022-12-02,64500,82100,44950
2022-12-05,64200,81400,45350
2022-12-06,63800,79200,43650
2022-12-07,63300,79200,44250
2022-12-08,63400,78000,43950
2022-12-09,65000,79000,45200
2022-12-12,65100,79400,44900
2022-12-13,63800,78800,44250
2022-12-14,65300,79100,45300
2022-12-15,64200,77800,44050
2022-12-16,65200,78000,45300
2022-12-19,67500,81200,46850
2022-12-20,66300,78500,44250
2022-12-21,66200,78000,44600
2022-12-22,67900,79800,47750
2022-12-23,66900,77100,46050
2022-12-26,67300,79100,45350
2022-12-27,68200,79300,45000
2022-12-28,66900,76000,42800
2022-12-29,67800,76700,43850
